"","Date","Value"
"98330041",2017-08-27 08:53:14.269,23
"98330051",2017-08-27 08:53:14.275,24
"98330061",2017-08-27 08:53:14.279,25
"98330071",2017-08-27 08:53:14.285,26
"98330081",2017-08-27 08:53:14.289,26
"98330091",2017-08-27 08:53:14.295,27
"98330101",2017-08-27 08:53:14.299,29
"98330111",2017-08-27 08:53:14.305,29
"98330121",2017-08-27 08:53:14.309,28
"98330131",2017-08-27 08:53:14.315,27
"98330141",2017-08-27 08:53:14.319,26
"98330151",2017-08-27 08:53:14.325,23
"98330161",2017-08-27 08:53:14.329,21
"98330171",2017-08-27 08:53:14.335,18
"98330181",2017-08-27 08:53:14.339,13
"98330191",2017-08-27 08:53:14.345,8
"98330201",2017-08-27 08:53:14.349,3
"98330211",2017-08-27 08:53:14.355,-2
"98330221",2017-08-27 08:53:14.359,-7
"98330231",2017-08-27 08:53:14.365,-10
"98330241",2017-08-27 08:53:14.369,-11
"98330251",2017-08-27 08:53:14.375,-13
"98330261",2017-08-27 08:53:14.380,-15
"98330271",2017-08-27 08:53:14.384,-16
"98330281",2017-08-27 08:53:14.390,-16
"98330291",2017-08-27 08:53:14.394,-17
"98330301",2017-08-27 08:53:14.400,-19
"98330311",2017-08-27 08:53:14.404,-19
"98330321",2017-08-27 08:53:14.410,-17
"98330331",2017-08-27 08:53:14.414,-14
"98330341",2017-08-27 08:53:14.420,-15
"98330351",2017-08-27 08:53:14.424,-16
"98330361",2017-08-27 08:53:14.430,-17
"98330371",2017-08-27 08:53:14.434,-16
"98330381",2017-08-27 08:53:14.440,-15
"98330391",2017-08-27 08:53:14.444,-15
"98330401",2017-08-27 08:53:14.450,-15
"98330411",2017-08-27 08:53:14.454,-16
"98330421",2017-08-27 08:53:14.460,-15
"98330431",2017-08-27 08:53:14.464,-13
"98330441",2017-08-27 08:53:14.470,-13
"98330451",2017-08-27 08:53:14.474,-14
"98330461",2017-08-27 08:53:14.480,-15
"98330471",2017-08-27 08:53:14.484,-14
"98330481",2017-08-27 08:53:14.490,-11
"98330491",2017-08-27 08:53:14.494,-10
"98330501",2017-08-27 08:53:14.500,-13
"98330511",2017-08-27 08:53:14.505,-14
"98330521",2017-08-27 08:53:14.509,-13
"98330531",2017-08-27 08:53:14.515,-11
"98330541",2017-08-27 08:53:14.519,-11
"98330551",2017-08-27 08:53:14.525,-13
"98330561",2017-08-27 08:53:14.529,-15
"98330571",2017-08-27 08:53:14.535,-15
"98330581",2017-08-27 08:53:14.539,-15
"98330591",2017-08-27 08:53:14.545,-13
"98330601",2017-08-27 08:53:14.549,-11
"98330611",2017-08-27 08:53:14.555,-10
"98330621",2017-08-27 08:53:14.559,-10
"98330631",2017-08-27 08:53:14.565,-11
"98330641",2017-08-27 08:53:14.569,-12
"98330651",2017-08-27 08:53:14.575,-11
"98330661",2017-08-27 08:53:14.579,-12
"98330671",2017-08-27 08:53:14.585,-12
"98330681",2017-08-27 08:53:14.589,-11
"98330691",2017-08-27 08:53:14.595,-13
"98330701",2017-08-27 08:53:14.599,-16
"98330711",2017-08-27 08:53:14.605,-13
"98330721",2017-08-27 08:53:14.609,-12
"98330731",2017-08-27 08:53:14.615,-14
"98330741",2017-08-27 08:53:14.619,-14
"98330751",2017-08-27 08:53:14.625,-12
"98330761",2017-08-27 08:53:14.630,-11
"98330771",2017-08-27 08:53:14.634,-13
"98330781",2017-08-27 08:53:14.640,-14
"98330791",2017-08-27 08:53:14.644,-13
"98330801",2017-08-27 08:53:14.650,-11
"98330811",2017-08-27 08:53:14.654,-8
"98330821",2017-08-27 08:53:14.660,-7
"98330831",2017-08-27 08:53:14.664,-7
"98330841",2017-08-27 08:53:14.670,-8
"98330851",2017-08-27 08:53:14.674,-7
"98330861",2017-08-27 08:53:14.680,-6
"98330871",2017-08-27 08:53:14.684,-5
"98330881",2017-08-27 08:53:14.690,-4
"98330891",2017-08-27 08:53:14.694,-6
"98330901",2017-08-27 08:53:14.700,-9
"98330911",2017-08-27 08:53:14.704,-10
"98330921",2017-08-27 08:53:14.710,-11
"98330931",2017-08-27 08:53:14.714,-10
"98330941",2017-08-27 08:53:14.720,-8
"98330951",2017-08-27 08:53:14.724,-3
"98330961",2017-08-27 08:53:14.730,14
"98330971",2017-08-27 08:53:14.734,48
"98330981",2017-08-27 08:53:14.740,81
"98330991",2017-08-27 08:53:14.744,90
"98331001",2017-08-27 08:53:14.750,59
"98331011",2017-08-27 08:53:14.755,11
"98331021",2017-08-27 08:53:14.759,-12
"98331031",2017-08-27 08:53:14.765,-8
"98331041",2017-08-27 08:53:14.769,3
"98331051",2017-08-27 08:53:14.775,8
"98331061",2017-08-27 08:53:14.779,8
"98331071",2017-08-27 08:53:14.785,7
"98331081",2017-08-27 08:53:14.789,5
"98331091",2017-08-27 08:53:14.795,4
"98331101",2017-08-27 08:53:14.799,4
"98331111",2017-08-27 08:53:14.805,3
"98331121",2017-08-27 08:53:14.809,1
"98331131",2017-08-27 08:53:14.815,0
"98331141",2017-08-27 08:53:14.819,1
"98331151",2017-08-27 08:53:14.825,3
"98331161",2017-08-27 08:53:14.829,4
"98331171",2017-08-27 08:53:14.835,2
"98331181",2017-08-27 08:53:14.839,2
"98331191",2017-08-27 08:53:14.845,3
"98331201",2017-08-27 08:53:14.849,5
"98331211",2017-08-27 08:53:14.855,5
"98331221",2017-08-27 08:53:14.859,5
"98331231",2017-08-27 08:53:14.865,4
"98331241",2017-08-27 08:53:14.869,5
"98331251",2017-08-27 08:53:14.875,6
"98331261",2017-08-27 08:53:14.880,8
"98331271",2017-08-27 08:53:14.884,7
"98331281",2017-08-27 08:53:14.890,8
"98331291",2017-08-27 08:53:14.894,11
"98331301",2017-08-27 08:53:14.900,11
"98331311",2017-08-27 08:53:14.904,10
"98331321",2017-08-27 08:53:14.910,12
"98331331",2017-08-27 08:53:14.914,15
"98331341",2017-08-27 08:53:14.920,17
"98331351",2017-08-27 08:53:14.924,17
"98331361",2017-08-27 08:53:14.930,18
"98331371",2017-08-27 08:53:14.934,21
"98331381",2017-08-27 08:53:14.940,24
"98331391",2017-08-27 08:53:14.944,24
"98331401",2017-08-27 08:53:14.950,24
"98331411",2017-08-27 08:53:14.954,25
"98331421",2017-08-27 08:53:14.960,26
"98331431",2017-08-27 08:53:14.964,28
"98331441",2017-08-27 08:53:14.970,29
"98331451",2017-08-27 08:53:14.974,28
"98331461",2017-08-27 08:53:14.980,27
"98331471",2017-08-27 08:53:14.984,26
"98331481",2017-08-27 08:53:14.990,26
"98331491",2017-08-27 08:53:14.994,24
"98331501",2017-08-27 08:53:15.000,21
"98331511",2017-08-27 08:53:15.005,15
"98331521",2017-08-27 08:53:15.009,9
"98331531",2017-08-27 08:53:15.015,5
"98331541",2017-08-27 08:53:15.019,3
"98331551",2017-08-27 08:53:15.025,0
"98331561",2017-08-27 08:53:15.029,-6
"98331571",2017-08-27 08:53:15.035,-10
"98331581",2017-08-27 08:53:15.039,-13
"98331591",2017-08-27 08:53:15.045,-15
"98331601",2017-08-27 08:53:15.049,-15
"98331611",2017-08-27 08:53:15.055,-16
"98331621",2017-08-27 08:53:15.059,-18
"98331631",2017-08-27 08:53:15.065,-20
"98331641",2017-08-27 08:53:15.069,-18
"98331651",2017-08-27 08:53:15.075,-16
"98331661",2017-08-27 08:53:15.079,-16
"98331671",2017-08-27 08:53:15.085,-17
"98331681",2017-08-27 08:53:15.089,-16
"98331691",2017-08-27 08:53:15.095,-15
"98331701",2017-08-27 08:53:15.099,-17
"98331711",2017-08-27 08:53:15.105,-17
"98331721",2017-08-27 08:53:15.109,-15
"98331731",2017-08-27 08:53:15.115,-15
"98331741",2017-08-27 08:53:15.119,-16
"98331751",2017-08-27 08:53:15.125,-16
"98331761",2017-08-27 08:53:15.130,-14
"98331771",2017-08-27 08:53:15.134,-12
"98331781",2017-08-27 08:53:15.140,-12
"98331791",2017-08-27 08:53:15.144,-13
"98331801",2017-08-27 08:53:15.150,-14
"98331811",2017-08-27 08:53:15.154,-15
"98331821",2017-08-27 08:53:15.160,-13
"98331831",2017-08-27 08:53:15.164,-11
"98331841",2017-08-27 08:53:15.170,-12
"98331851",2017-08-27 08:53:15.174,-14
"98331861",2017-08-27 08:53:15.180,-14
"98331871",2017-08-27 08:53:15.184,-13
"98331881",2017-08-27 08:53:15.190,-11
"98331891",2017-08-27 08:53:15.194,-11
"98331901",2017-08-27 08:53:15.200,-10
"98331911",2017-08-27 08:53:15.204,-9
"98331921",2017-08-27 08:53:15.210,-10
"98331931",2017-08-27 08:53:15.214,-12
"98331941",2017-08-27 08:53:15.220,-13
"98331951",2017-08-27 08:53:15.224,-12
"98331961",2017-08-27 08:53:15.230,-11
"98331971",2017-08-27 08:53:15.234,-12
"98331981",2017-08-27 08:53:15.240,-13
"98331991",2017-08-27 08:53:15.244,-13
"98332001",2017-08-27 08:53:15.250,-10
"98332011",2017-08-27 08:53:15.255,-7
"98332021",2017-08-27 08:53:15.259,-8
"98332031",2017-08-27 08:53:15.265,-11
"98332041",2017-08-27 08:53:15.269,-11
"98332051",2017-08-27 08:53:15.275,-9
"98332061",2017-08-27 08:53:15.279,-10
"98332071",2017-08-27 08:53:15.285,-11
"98332081",2017-08-27 08:53:15.289,-11
"98332091",2017-08-27 08:53:15.295,-12
"98332101",2017-08-27 08:53:15.299,-12
"98332111",2017-08-27 08:53:15.305,-12
"98332121",2017-08-27 08:53:15.309,-13
"98332131",2017-08-27 08:53:15.315,-14
"98332141",2017-08-27 08:53:15.319,-11
"98332151",2017-08-27 08:53:15.325,-8
"98332161",2017-08-27 08:53:15.329,-9
"98332171",2017-08-27 08:53:15.335,-8
"98332181",2017-08-27 08:53:15.339,-5
"98332191",2017-08-27 08:53:15.345,-3
"98332201",2017-08-27 08:53:15.349,-3
"98332211",2017-08-27 08:53:15.355,-5
"98332221",2017-08-27 08:53:15.359,-8
"98332231",2017-08-27 08:53:15.365,-11
"98332241",2017-08-27 08:53:15.369,-11
"98332251",2017-08-27 08:53:15.375,-10
"98332261",2017-08-27 08:53:15.380,-8
"98332271",2017-08-27 08:53:15.384,-9
"98332281",2017-08-27 08:53:15.390,-8
"98332291",2017-08-27 08:53:15.394,-3
"98332301",2017-08-27 08:53:15.400,15
"98332311",2017-08-27 08:53:15.404,50
"98332321",2017-08-27 08:53:15.410,87
"98332331",2017-08-27 08:53:15.414,91
"98332341",2017-08-27 08:53:15.420,53
"98332351",2017-08-27 08:53:15.424,3
"98332361",2017-08-27 08:53:15.430,-18
"98332371",2017-08-27 08:53:15.434,-11
"98332381",2017-08-27 08:53:15.440,3
"98332391",2017-08-27 08:53:15.444,9
"98332401",2017-08-27 08:53:15.450,8
"98332411",2017-08-27 08:53:15.454,7
"98332421",2017-08-27 08:53:15.460,6
"98332431",2017-08-27 08:53:15.464,6
"98332441",2017-08-27 08:53:15.470,6
"98332451",2017-08-27 08:53:15.474,4
"98332461",2017-08-27 08:53:15.480,3
"98332471",2017-08-27 08:53:15.484,2
"98332481",2017-08-27 08:53:15.490,3
"98332491",2017-08-27 08:53:15.494,4
"98332501",2017-08-27 08:53:15.500,5
"98332511",2017-08-27 08:53:15.505,4
"98332521",2017-08-27 08:53:15.509,2
"98332531",2017-08-27 08:53:15.515,4
"98332541",2017-08-27 08:53:15.519,7
"98332551",2017-08-27 08:53:15.525,7
"98332561",2017-08-27 08:53:15.529,6
"98332571",2017-08-27 08:53:15.535,7
"98332581",2017-08-27 08:53:15.539,9
"98332591",2017-08-27 08:53:15.545,9
"98332601",2017-08-27 08:53:15.549,9
"98332611",2017-08-27 08:53:15.555,10
"98332621",2017-08-27 08:53:15.559,11
"98332631",2017-08-27 08:53:15.565,12
"98332641",2017-08-27 08:53:15.569,11
"98332651",2017-08-27 08:53:15.575,12
"98332661",2017-08-27 08:53:15.579,14
"98332671",2017-08-27 08:53:15.585,16
"98332681",2017-08-27 08:53:15.589,16
"98332691",2017-08-27 08:53:15.595,16
"98332701",2017-08-27 08:53:15.599,19
"98332711",2017-08-27 08:53:15.605,21
"98332721",2017-08-27 08:53:15.609,24
"98332731",2017-08-27 08:53:15.615,26
"98332741",2017-08-27 08:53:15.619,26
"98332751",2017-08-27 08:53:15.625,26
"98332761",2017-08-27 08:53:15.630,29
"98332771",2017-08-27 08:53:15.634,30
"98332781",2017-08-27 08:53:15.640,30
"98332791",2017-08-27 08:53:15.644,29
"98332801",2017-08-27 08:53:15.650,28
"98332811",2017-08-27 08:53:15.654,28
"98332821",2017-08-27 08:53:15.660,28
"98332831",2017-08-27 08:53:15.664,23
"98332841",2017-08-27 08:53:15.670,19
"98332851",2017-08-27 08:53:15.674,15
"98332861",2017-08-27 08:53:15.680,11
"98332871",2017-08-27 08:53:15.684,6
"98332881",2017-08-27 08:53:15.690,1
"98332891",2017-08-27 08:53:15.694,-3
"98332901",2017-08-27 08:53:15.700,-8
"98332911",2017-08-27 08:53:15.704,-13
"98332921",2017-08-27 08:53:15.710,-16
"98332931",2017-08-27 08:53:15.714,-16
"98332941",2017-08-27 08:53:15.720,-16
"98332951",2017-08-27 08:53:15.724,-16
"98332961",2017-08-27 08:53:15.730,-18
"98332971",2017-08-27 08:53:15.734,-20
"98332981",2017-08-27 08:53:15.740,-20
"98332991",2017-08-27 08:53:15.744,-19
"98333001",2017-08-27 08:53:15.750,-19
"98333011",2017-08-27 08:53:15.755,-19
"98333021",2017-08-27 08:53:15.759,-20
"98333031",2017-08-27 08:53:15.765,-20
"98333041",2017-08-27 08:53:15.769,-20
"98333051",2017-08-27 08:53:15.775,-19
"98333061",2017-08-27 08:53:15.779,-19
"98333071",2017-08-27 08:53:15.785,-18
"98333081",2017-08-27 08:53:15.789,-18
"98333091",2017-08-27 08:53:15.795,-18
"98333101",2017-08-27 08:53:15.799,-17
"98333111",2017-08-27 08:53:15.805,-19
"98333121",2017-08-27 08:53:15.809,-19
"98333131",2017-08-27 08:53:15.815,-18
"98333141",2017-08-27 08:53:15.819,-18
"98333151",2017-08-27 08:53:15.825,-16
"98333161",2017-08-27 08:53:15.829,-14
"98333171",2017-08-27 08:53:15.835,-14
"98333181",2017-08-27 08:53:15.839,-16
"98333191",2017-08-27 08:53:15.845,-16
"98333201",2017-08-27 08:53:15.849,-16
"98333211",2017-08-27 08:53:15.855,-17
"98333221",2017-08-27 08:53:15.859,-17
