"","Date","Value"
"98340421",2017-08-27 08:53:19.460,8
"98340431",2017-08-27 08:53:19.464,7
"98340441",2017-08-27 08:53:19.470,6
"98340451",2017-08-27 08:53:19.474,3
"98340461",2017-08-27 08:53:19.480,2
"98340471",2017-08-27 08:53:19.484,4
"98340481",2017-08-27 08:53:19.490,5
"98340491",2017-08-27 08:53:19.494,4
"98340501",2017-08-27 08:53:19.500,2
"98340511",2017-08-27 08:53:19.505,3
"98340521",2017-08-27 08:53:19.509,5
"98340531",2017-08-27 08:53:19.515,7
"98340541",2017-08-27 08:53:19.519,8
"98340551",2017-08-27 08:53:19.525,6
"98340561",2017-08-27 08:53:19.529,4
"98340571",2017-08-27 08:53:19.535,6
"98340581",2017-08-27 08:53:19.539,7
"98340591",2017-08-27 08:53:19.545,5
"98340601",2017-08-27 08:53:19.549,5
"98340611",2017-08-27 08:53:19.555,8
"98340621",2017-08-27 08:53:19.559,10
"98340631",2017-08-27 08:53:19.565,11
"98340641",2017-08-27 08:53:19.569,11
"98340651",2017-08-27 08:53:19.575,10
"98340661",2017-08-27 08:53:19.579,11
"98340671",2017-08-27 08:53:19.585,13
"98340681",2017-08-27 08:53:19.589,16
"98340691",2017-08-27 08:53:19.595,18
"98340701",2017-08-27 08:53:19.599,18
"98340711",2017-08-27 08:53:19.605,18
"98340721",2017-08-27 08:53:19.609,21
"98340731",2017-08-27 08:53:19.615,24
"98340741",2017-08-27 08:53:19.619,26
"98340751",2017-08-27 08:53:19.625,27
"98340761",2017-08-27 08:53:19.630,27
"98340771",2017-08-27 08:53:19.634,28
"98340781",2017-08-27 08:53:19.640,30
"98340791",2017-08-27 08:53:19.644,30
"98340801",2017-08-27 08:53:19.650,30
"98340811",2017-08-27 08:53:19.654,32
"98340821",2017-08-27 08:53:19.660,32
"98340831",2017-08-27 08:53:19.664,31
"98340841",2017-08-27 08:53:19.670,28
"98340851",2017-08-27 08:53:19.674,23
"98340861",2017-08-27 08:53:19.680,19
"98340871",2017-08-27 08:53:19.684,15
"98340881",2017-08-27 08:53:19.690,10
"98340891",2017-08-27 08:53:19.694,5
"98340901",2017-08-27 08:53:19.700,0
"98340911",2017-08-27 08:53:19.704,-5
"98340921",2017-08-27 08:53:19.710,-7
"98340931",2017-08-27 08:53:19.714,-9
"98340941",2017-08-27 08:53:19.720,-12
"98340951",2017-08-27 08:53:19.724,-15
"98340961",2017-08-27 08:53:19.730,-14
"98340971",2017-08-27 08:53:19.734,-14
"98340981",2017-08-27 08:53:19.740,-16
"98340991",2017-08-27 08:53:19.744,-17
"98341001",2017-08-27 08:53:19.750,-19
"98341011",2017-08-27 08:53:19.755,-19
"98341021",2017-08-27 08:53:19.759,-18
"98341031",2017-08-27 08:53:19.765,-17
"98341041",2017-08-27 08:53:19.769,-17
"98341051",2017-08-27 08:53:19.775,-17
"98341061",2017-08-27 08:53:19.779,-17
"98341071",2017-08-27 08:53:19.785,-17
"98341081",2017-08-27 08:53:19.789,-15
"98341091",2017-08-27 08:53:19.795,-13
"98341101",2017-08-27 08:53:19.799,-14
"98341111",2017-08-27 08:53:19.805,-14
"98341121",2017-08-27 08:53:19.809,-12
"98341131",2017-08-27 08:53:19.815,-12
"98341141",2017-08-27 08:53:19.819,-13
"98341151",2017-08-27 08:53:19.825,-13
"98341161",2017-08-27 08:53:19.829,-14
"98341171",2017-08-27 08:53:19.835,-13
"98341181",2017-08-27 08:53:19.839,-12
"98341191",2017-08-27 08:53:19.845,-11
"98341201",2017-08-27 08:53:19.849,-12
"98341211",2017-08-27 08:53:19.855,-13
"98341221",2017-08-27 08:53:19.859,-12
"98341231",2017-08-27 08:53:19.865,-10
"98341241",2017-08-27 08:53:19.869,-10
"98341251",2017-08-27 08:53:19.875,-11
"98341261",2017-08-27 08:53:19.880,-11
"98341271",2017-08-27 08:53:19.884,-10
"98341281",2017-08-27 08:53:19.890,-11
"98341291",2017-08-27 08:53:19.894,-13
"98341301",2017-08-27 08:53:19.900,-12
"98341311",2017-08-27 08:53:19.904,-12
"98341321",2017-08-27 08:53:19.910,-11
"98341331",2017-08-27 08:53:19.914,-11
"98341341",2017-08-27 08:53:19.920,-11
"98341351",2017-08-27 08:53:19.924,-11
"98341361",2017-08-27 08:53:19.930,-12
"98341371",2017-08-27 08:53:19.934,-11
"98341381",2017-08-27 08:53:19.940,-13
"98341391",2017-08-27 08:53:19.944,-14
"98341401",2017-08-27 08:53:19.950,-14
"98341411",2017-08-27 08:53:19.954,-12
"98341421",2017-08-27 08:53:19.960,-10
"98341431",2017-08-27 08:53:19.964,-11
"98341441",2017-08-27 08:53:19.970,-12
"98341451",2017-08-27 08:53:19.974,-12
"98341461",2017-08-27 08:53:19.980,-14
"98341471",2017-08-27 08:53:19.984,-15
"98341481",2017-08-27 08:53:19.990,-15
"98341491",2017-08-27 08:53:19.994,-13
"98341501",2017-08-27 08:53:20.000,-13
"98341511",2017-08-27 08:53:20.005,-10
"98341521",2017-08-27 08:53:20.009,-9
"98341531",2017-08-27 08:53:20.015,-9
"98341541",2017-08-27 08:53:20.019,-10
"98341551",2017-08-27 08:53:20.025,-7
"98341561",2017-08-27 08:53:20.029,-4
"98341571",2017-08-27 08:53:20.035,-5
"98341581",2017-08-27 08:53:20.039,-9
"98341591",2017-08-27 08:53:20.045,-10
"98341601",2017-08-27 08:53:20.049,-9
"98341611",2017-08-27 08:53:20.055,-8
"98341621",2017-08-27 08:53:20.059,-10
"98341631",2017-08-27 08:53:20.065,-11
"98341641",2017-08-27 08:53:20.069,-5
"98341651",2017-08-27 08:53:20.075,15
"98341661",2017-08-27 08:53:20.079,50
"98341671",2017-08-27 08:53:20.085,80
"98341681",2017-08-27 08:53:20.089,84
"98341691",2017-08-27 08:53:20.095,51
"98341701",2017-08-27 08:53:20.099,5
"98341711",2017-08-27 08:53:20.105,-17
"98341721",2017-08-27 08:53:20.109,-10
"98341731",2017-08-27 08:53:20.115,0
"98341741",2017-08-27 08:53:20.119,5
"98341751",2017-08-27 08:53:20.125,4
"98341761",2017-08-27 08:53:20.130,3
"98341771",2017-08-27 08:53:20.134,3
"98341781",2017-08-27 08:53:20.140,4
"98341791",2017-08-27 08:53:20.144,4
"98341801",2017-08-27 08:53:20.150,1
"98341811",2017-08-27 08:53:20.154,-1
"98341821",2017-08-27 08:53:20.160,-1
"98341831",2017-08-27 08:53:20.164,-1
"98341841",2017-08-27 08:53:20.170,0
"98341851",2017-08-27 08:53:20.174,0
"98341861",2017-08-27 08:53:20.180,1
"98341871",2017-08-27 08:53:20.184,1
"98341881",2017-08-27 08:53:20.190,1
"98341891",2017-08-27 08:53:20.194,2
"98341901",2017-08-27 08:53:20.200,3
"98341911",2017-08-27 08:53:20.204,4
"98341921",2017-08-27 08:53:20.210,4
"98341931",2017-08-27 08:53:20.214,4
"98341941",2017-08-27 08:53:20.220,5
"98341951",2017-08-27 08:53:20.224,5
"98341961",2017-08-27 08:53:20.230,4
"98341971",2017-08-27 08:53:20.234,4
"98341981",2017-08-27 08:53:20.240,8
"98341991",2017-08-27 08:53:20.244,10
"98342001",2017-08-27 08:53:20.250,10
"98342011",2017-08-27 08:53:20.255,10
"98342021",2017-08-27 08:53:20.259,13
"98342031",2017-08-27 08:53:20.265,14
"98342041",2017-08-27 08:53:20.269,15
"98342051",2017-08-27 08:53:20.275,16
"98342061",2017-08-27 08:53:20.279,18
"98342071",2017-08-27 08:53:20.285,20
"98342081",2017-08-27 08:53:20.289,22
"98342091",2017-08-27 08:53:20.295,24
"98342101",2017-08-27 08:53:20.299,26
"98342111",2017-08-27 08:53:20.305,25
"98342121",2017-08-27 08:53:20.309,24
"98342131",2017-08-27 08:53:20.315,26
"98342141",2017-08-27 08:53:20.319,28
"98342151",2017-08-27 08:53:20.325,29
"98342161",2017-08-27 08:53:20.329,28
"98342171",2017-08-27 08:53:20.335,26
"98342181",2017-08-27 08:53:20.339,24
"98342191",2017-08-27 08:53:20.345,21
"98342201",2017-08-27 08:53:20.349,17
"98342211",2017-08-27 08:53:20.355,12
"98342221",2017-08-27 08:53:20.359,6
"98342231",2017-08-27 08:53:20.365,0
"98342241",2017-08-27 08:53:20.369,-3
"98342251",2017-08-27 08:53:20.375,-6
"98342261",2017-08-27 08:53:20.380,-10
"98342271",2017-08-27 08:53:20.384,-14
"98342281",2017-08-27 08:53:20.390,-16
"98342291",2017-08-27 08:53:20.394,-18
"98342301",2017-08-27 08:53:20.400,-17
"98342311",2017-08-27 08:53:20.404,-18
"98342321",2017-08-27 08:53:20.410,-19
"98342331",2017-08-27 08:53:20.414,-20
"98342341",2017-08-27 08:53:20.420,-20
"98342351",2017-08-27 08:53:20.424,-18
"98342361",2017-08-27 08:53:20.430,-17
"98342371",2017-08-27 08:53:20.434,-16
"98342381",2017-08-27 08:53:20.440,-18
"98342391",2017-08-27 08:53:20.444,-19
"98342401",2017-08-27 08:53:20.450,-17
"98342411",2017-08-27 08:53:20.454,-16
"98342421",2017-08-27 08:53:20.460,-16
"98342431",2017-08-27 08:53:20.464,-17
"98342441",2017-08-27 08:53:20.470,-20
"98342451",2017-08-27 08:53:20.474,-20
"98342461",2017-08-27 08:53:20.480,-17
"98342471",2017-08-27 08:53:20.484,-16
"98342481",2017-08-27 08:53:20.490,-17
"98342491",2017-08-27 08:53:20.494,-14
"98342501",2017-08-27 08:53:20.500,-13
"98342511",2017-08-27 08:53:20.505,-16
"98342521",2017-08-27 08:53:20.509,-16
"98342531",2017-08-27 08:53:20.515,-11
"98342541",2017-08-27 08:53:20.519,-10
"98342551",2017-08-27 08:53:20.525,-14
"98342561",2017-08-27 08:53:20.529,-15
"98342571",2017-08-27 08:53:20.535,-13
"98342581",2017-08-27 08:53:20.539,-13
"98342591",2017-08-27 08:53:20.545,-12
"98342601",2017-08-27 08:53:20.549,-12
"98342611",2017-08-27 08:53:20.555,-13
"98342621",2017-08-27 08:53:20.559,-14
"98342631",2017-08-27 08:53:20.565,-14
"98342641",2017-08-27 08:53:20.569,-14
"98342651",2017-08-27 08:53:20.575,-14
"98342661",2017-08-27 08:53:20.579,-14
"98342671",2017-08-27 08:53:20.585,-12
"98342681",2017-08-27 08:53:20.589,-12
"98342691",2017-08-27 08:53:20.595,-12
"98342701",2017-08-27 08:53:20.599,-12
"98342711",2017-08-27 08:53:20.605,-13
"98342721",2017-08-27 08:53:20.609,-14
"98342731",2017-08-27 08:53:20.615,-13
"98342741",2017-08-27 08:53:20.619,-13
"98342751",2017-08-27 08:53:20.625,-13
"98342761",2017-08-27 08:53:20.630,-15
"98342771",2017-08-27 08:53:20.634,-15
"98342781",2017-08-27 08:53:20.640,-13
"98342791",2017-08-27 08:53:20.644,-13
"98342801",2017-08-27 08:53:20.650,-14
"98342811",2017-08-27 08:53:20.654,-14
"98342821",2017-08-27 08:53:20.660,-14
"98342831",2017-08-27 08:53:20.664,-14
"98342841",2017-08-27 08:53:20.670,-11
"98342851",2017-08-27 08:53:20.674,-9
"98342861",2017-08-27 08:53:20.680,-9
"98342871",2017-08-27 08:53:20.684,-9
"98342881",2017-08-27 08:53:20.690,-6
"98342891",2017-08-27 08:53:20.694,-4
"98342901",2017-08-27 08:53:20.700,-5
"98342911",2017-08-27 08:53:20.704,-6
"98342921",2017-08-27 08:53:20.710,-9
"98342931",2017-08-27 08:53:20.714,-11
"98342941",2017-08-27 08:53:20.720,-11
"98342951",2017-08-27 08:53:20.724,-11
"98342961",2017-08-27 08:53:20.730,-11
"98342971",2017-08-27 08:53:20.734,-8
"98342981",2017-08-27 08:53:20.740,7
"98342991",2017-08-27 08:53:20.744,39
"98343001",2017-08-27 08:53:20.750,74
"98343011",2017-08-27 08:53:20.755,85
"98343021",2017-08-27 08:53:20.759,61
"98343031",2017-08-27 08:53:20.765,18
"98343041",2017-08-27 08:53:20.769,-10
"98343051",2017-08-27 08:53:20.775,-11
"98343061",2017-08-27 08:53:20.779,1
"98343071",2017-08-27 08:53:20.785,9
"98343081",2017-08-27 08:53:20.789,10
"98343091",2017-08-27 08:53:20.795,8
"98343101",2017-08-27 08:53:20.799,5
"98343111",2017-08-27 08:53:20.805,5
"98343121",2017-08-27 08:53:20.809,6
"98343131",2017-08-27 08:53:20.815,4
"98343141",2017-08-27 08:53:20.819,1
"98343151",2017-08-27 08:53:20.825,2
"98343161",2017-08-27 08:53:20.829,4
"98343171",2017-08-27 08:53:20.835,3
"98343181",2017-08-27 08:53:20.839,1
"98343191",2017-08-27 08:53:20.845,1
"98343201",2017-08-27 08:53:20.849,3
"98343211",2017-08-27 08:53:20.855,5
"98343221",2017-08-27 08:53:20.859,6
"98343231",2017-08-27 08:53:20.865,5
"98343241",2017-08-27 08:53:20.869,5
"98343251",2017-08-27 08:53:20.875,5
"98343261",2017-08-27 08:53:20.880,5
"98343271",2017-08-27 08:53:20.884,6
"98343281",2017-08-27 08:53:20.890,8
"98343291",2017-08-27 08:53:20.894,8
"98343301",2017-08-27 08:53:20.900,7
"98343311",2017-08-27 08:53:20.904,9
"98343321",2017-08-27 08:53:20.910,12
"98343331",2017-08-27 08:53:20.914,13
"98343341",2017-08-27 08:53:20.920,12
"98343351",2017-08-27 08:53:20.924,12
"98343361",2017-08-27 08:53:20.930,13
"98343371",2017-08-27 08:53:20.934,13
"98343381",2017-08-27 08:53:20.940,16
"98343391",2017-08-27 08:53:20.944,19
"98343401",2017-08-27 08:53:20.950,21
"98343411",2017-08-27 08:53:20.954,22
"98343421",2017-08-27 08:53:20.960,23
"98343431",2017-08-27 08:53:20.964,25
"98343441",2017-08-27 08:53:20.970,25
"98343451",2017-08-27 08:53:20.974,24
"98343461",2017-08-27 08:53:20.980,25
"98343471",2017-08-27 08:53:20.984,26
"98343481",2017-08-27 08:53:20.990,28
"98343491",2017-08-27 08:53:20.994,28
"98343501",2017-08-27 08:53:21.000,27
"98343511",2017-08-27 08:53:21.005,26
"98343521",2017-08-27 08:53:21.009,22
"98343531",2017-08-27 08:53:21.015,14
"98343541",2017-08-27 08:53:21.019,7
"98343551",2017-08-27 08:53:21.025,7
"98343561",2017-08-27 08:53:21.029,5
"98343571",2017-08-27 08:53:21.035,-1
"98343581",2017-08-27 08:53:21.039,-9
"98343591",2017-08-27 08:53:21.045,-12
"98343601",2017-08-27 08:53:21.049,-13
"98343611",2017-08-27 08:53:21.055,-15
"98343621",2017-08-27 08:53:21.059,-16
"98343631",2017-08-27 08:53:21.065,-15
"98343641",2017-08-27 08:53:21.069,-16
"98343651",2017-08-27 08:53:21.075,-19
"98343661",2017-08-27 08:53:21.079,-18
"98343671",2017-08-27 08:53:21.085,-16
"98343681",2017-08-27 08:53:21.089,-17
"98343691",2017-08-27 08:53:21.095,-19
"98343701",2017-08-27 08:53:21.099,-19
"98343711",2017-08-27 08:53:21.105,-18
"98343721",2017-08-27 08:53:21.109,-19
"98343731",2017-08-27 08:53:21.115,-18
"98343741",2017-08-27 08:53:21.119,-16
"98343751",2017-08-27 08:53:21.125,-15
"98343761",2017-08-27 08:53:21.130,-16
"98343771",2017-08-27 08:53:21.134,-16
"98343781",2017-08-27 08:53:21.140,-18
"98343791",2017-08-27 08:53:21.144,-18
"98343801",2017-08-27 08:53:21.150,-16
"98343811",2017-08-27 08:53:21.154,-15
"98343821",2017-08-27 08:53:21.160,-16
"98343831",2017-08-27 08:53:21.164,-17
"98343841",2017-08-27 08:53:21.170,-15
"98343851",2017-08-27 08:53:21.174,-13
"98343861",2017-08-27 08:53:21.180,-14
"98343871",2017-08-27 08:53:21.184,-14
"98343881",2017-08-27 08:53:21.190,-14
"98343891",2017-08-27 08:53:21.194,-16
"98343901",2017-08-27 08:53:21.200,-16
"98343911",2017-08-27 08:53:21.204,-14
"98343921",2017-08-27 08:53:21.210,-15
"98343931",2017-08-27 08:53:21.214,-15
"98343941",2017-08-27 08:53:21.220,-13
"98343951",2017-08-27 08:53:21.224,-12
"98343961",2017-08-27 08:53:21.230,-13
"98343971",2017-08-27 08:53:21.234,-14
"98343981",2017-08-27 08:53:21.240,-14
"98343991",2017-08-27 08:53:21.244,-13
"98344001",2017-08-27 08:53:21.250,-14
"98344011",2017-08-27 08:53:21.255,-14
"98344021",2017-08-27 08:53:21.259,-13
"98344031",2017-08-27 08:53:21.265,-13
"98344041",2017-08-27 08:53:21.269,-12
"98344051",2017-08-27 08:53:21.275,-13
"98344061",2017-08-27 08:53:21.279,-14
"98344071",2017-08-27 08:53:21.285,-13
"98344081",2017-08-27 08:53:21.289,-14
"98344091",2017-08-27 08:53:21.295,-14
"98344101",2017-08-27 08:53:21.299,-13
"98344111",2017-08-27 08:53:21.305,-13
"98344121",2017-08-27 08:53:21.309,-16
"98344131",2017-08-27 08:53:21.315,-17
"98344141",2017-08-27 08:53:21.319,-15
"98344151",2017-08-27 08:53:21.325,-13
"98344161",2017-08-27 08:53:21.329,-13
"98344171",2017-08-27 08:53:21.335,-13
"98344181",2017-08-27 08:53:21.339,-10
"98344191",2017-08-27 08:53:21.345,-7
"98344201",2017-08-27 08:53:21.349,-7
"98344211",2017-08-27 08:53:21.355,-7
"98344221",2017-08-27 08:53:21.359,-6
"98344231",2017-08-27 08:53:21.365,-6
"98344241",2017-08-27 08:53:21.369,-7
"98344251",2017-08-27 08:53:21.375,-9
"98344261",2017-08-27 08:53:21.380,-13
"98344271",2017-08-27 08:53:21.384,-15
"98344281",2017-08-27 08:53:21.390,-13
"98344291",2017-08-27 08:53:21.394,-11
"98344301",2017-08-27 08:53:21.400,-9
"98344311",2017-08-27 08:53:21.404,-2
"98344321",2017-08-27 08:53:21.410,19
"98344331",2017-08-27 08:53:21.414,54
"98344341",2017-08-27 08:53:21.420,80
"98344351",2017-08-27 08:53:21.424,76
"98344361",2017-08-27 08:53:21.430,40
"98344371",2017-08-27 08:53:21.434,-1
"98344381",2017-08-27 08:53:21.440,-16
"98344391",2017-08-27 08:53:21.444,-6
"98344401",2017-08-27 08:53:21.450,6
"98344411",2017-08-27 08:53:21.454,7
"98344421",2017-08-27 08:53:21.460,4
"98344431",2017-08-27 08:53:21.464,4
"98344441",2017-08-27 08:53:21.470,5
"98344451",2017-08-27 08:53:21.474,5
"98344461",2017-08-27 08:53:21.480,3
"98344471",2017-08-27 08:53:21.484,1
"98344481",2017-08-27 08:53:21.490,0
"98344491",2017-08-27 08:53:21.494,-1
"98344501",2017-08-27 08:53:21.500,0
"98344511",2017-08-27 08:53:21.505,0
"98344521",2017-08-27 08:53:21.509,-1
"98344531",2017-08-27 08:53:21.515,0
"98344541",2017-08-27 08:53:21.519,1
"98344551",2017-08-27 08:53:21.525,1
"98344561",2017-08-27 08:53:21.529,1
"98344571",2017-08-27 08:53:21.535,3
"98344581",2017-08-27 08:53:21.539,5
"98344591",2017-08-27 08:53:21.545,3
"98344601",2017-08-27 08:53:21.549,4
"98344611",2017-08-27 08:53:21.555,6
"98344621",2017-08-27 08:53:21.559,5
"98344631",2017-08-27 08:53:21.565,3
"98344641",2017-08-27 08:53:21.569,6
"98344651",2017-08-27 08:53:21.575,9
"98344661",2017-08-27 08:53:21.579,9
"98344671",2017-08-27 08:53:21.585,8
"98344681",2017-08-27 08:53:21.589,9
"98344691",2017-08-27 08:53:21.595,11
"98344701",2017-08-27 08:53:21.599,16
"98344711",2017-08-27 08:53:21.605,18
"98344721",2017-08-27 08:53:21.609,18
"98344731",2017-08-27 08:53:21.615,17
"98344741",2017-08-27 08:53:21.619,20
"98344751",2017-08-27 08:53:21.625,23
"98344761",2017-08-27 08:53:21.630,24
"98344771",2017-08-27 08:53:21.634,24
"98344781",2017-08-27 08:53:21.640,27
"98344791",2017-08-27 08:53:21.644,29
"98344801",2017-08-27 08:53:21.650,28
"98344811",2017-08-27 08:53:21.654,26
"98344821",2017-08-27 08:53:21.660,27
"98344831",2017-08-27 08:53:21.664,27
"98344841",2017-08-27 08:53:21.670,27
"98344851",2017-08-27 08:53:21.674,24
"98344861",2017-08-27 08:53:21.680,18
"98344871",2017-08-27 08:53:21.684,13
"98344881",2017-08-27 08:53:21.690,9
"98344891",2017-08-27 08:53:21.694,6
"98344901",2017-08-27 08:53:21.700,1
"98344911",2017-08-27 08:53:21.704,-4
"98344921",2017-08-27 08:53:21.710,-8
"98344931",2017-08-27 08:53:21.714,-10
"98344941",2017-08-27 08:53:21.720,-11
"98344951",2017-08-27 08:53:21.724,-13
"98344961",2017-08-27 08:53:21.730,-16
"98344971",2017-08-27 08:53:21.734,-15
"98344981",2017-08-27 08:53:21.740,-15
"98344991",2017-08-27 08:53:21.744,-17
"98345001",2017-08-27 08:53:21.750,-18
"98345011",2017-08-27 08:53:21.755,-18
"98345021",2017-08-27 08:53:21.759,-20
"98345031",2017-08-27 08:53:21.765,-19
"98345041",2017-08-27 08:53:21.769,-17
"98345051",2017-08-27 08:53:21.775,-18
"98345061",2017-08-27 08:53:21.779,-18
"98345071",2017-08-27 08:53:21.785,-16
"98345081",2017-08-27 08:53:21.789,-16
"98345091",2017-08-27 08:53:21.795,-16
"98345101",2017-08-27 08:53:21.799,-16
"98345111",2017-08-27 08:53:21.805,-16
"98345121",2017-08-27 08:53:21.809,-15
"98345131",2017-08-27 08:53:21.815,-15
"98345141",2017-08-27 08:53:21.819,-15
"98345151",2017-08-27 08:53:21.825,-15
"98345161",2017-08-27 08:53:21.829,-15
"98345171",2017-08-27 08:53:21.835,-15
"98345181",2017-08-27 08:53:21.839,-14
"98345191",2017-08-27 08:53:21.845,-13
"98345201",2017-08-27 08:53:21.849,-14
"98345211",2017-08-27 08:53:21.855,-14
"98345221",2017-08-27 08:53:21.859,-14
"98345231",2017-08-27 08:53:21.865,-14
"98345241",2017-08-27 08:53:21.869,-14
"98345251",2017-08-27 08:53:21.875,-13
"98345261",2017-08-27 08:53:21.880,-12
"98345271",2017-08-27 08:53:21.884,-12
"98345281",2017-08-27 08:53:21.890,-15
"98345291",2017-08-27 08:53:21.894,-16
"98345301",2017-08-27 08:53:21.900,-16
"98345311",2017-08-27 08:53:21.904,-15
"98345321",2017-08-27 08:53:21.910,-15
"98345331",2017-08-27 08:53:21.914,-14
"98345341",2017-08-27 08:53:21.920,-13
"98345351",2017-08-27 08:53:21.924,-14
"98345361",2017-08-27 08:53:21.930,-15
"98345371",2017-08-27 08:53:21.934,-13
"98345381",2017-08-27 08:53:21.940,-12
"98345391",2017-08-27 08:53:21.944,-14
"98345401",2017-08-27 08:53:21.950,-16
"98345411",2017-08-27 08:53:21.954,-15
"98345421",2017-08-27 08:53:21.960,-14
"98345431",2017-08-27 08:53:21.964,-15
"98345441",2017-08-27 08:53:21.970,-14
"98345451",2017-08-27 08:53:21.974,-10
"98345461",2017-08-27 08:53:21.980,-10
"98345471",2017-08-27 08:53:21.984,-13
"98345481",2017-08-27 08:53:21.990,-14
"98345491",2017-08-27 08:53:21.994,-12
"98345501",2017-08-27 08:53:22.000,-12
"98345511",2017-08-27 08:53:22.005,-13
"98345521",2017-08-27 08:53:22.009,-12
"98345531",2017-08-27 08:53:22.015,-12
"98345541",2017-08-27 08:53:22.019,-13
"98345551",2017-08-27 08:53:22.025,-10
"98345561",2017-08-27 08:53:22.029,-7
"98345571",2017-08-27 08:53:22.035,-8
"98345581",2017-08-27 08:53:22.039,-11
"98345591",2017-08-27 08:53:22.045,-11
"98345601",2017-08-27 08:53:22.049,-9
"98345611",2017-08-27 08:53:22.055,-10
"98345621",2017-08-27 08:53:22.059,-9
"98345631",2017-08-27 08:53:22.065,-8
"98345641",2017-08-27 08:53:22.069,-8
"98345651",2017-08-27 08:53:22.075,-9
"98345661",2017-08-27 08:53:22.079,-10
"98345671",2017-08-27 08:53:22.085,-9
"98345681",2017-08-27 08:53:22.089,-8
"98345691",2017-08-27 08:53:22.095,-8
"98345701",2017-08-27 08:53:22.099,-9
"98345711",2017-08-27 08:53:22.105,-10
"98345721",2017-08-27 08:53:22.109,-11
"98345731",2017-08-27 08:53:22.115,-9
"98345741",2017-08-27 08:53:22.119,-8
"98345751",2017-08-27 08:53:22.125,-7
"98345761",2017-08-27 08:53:22.130,-8
"98345771",2017-08-27 08:53:22.134,-8
"98345781",2017-08-27 08:53:22.140,-8
"98345791",2017-08-27 08:53:22.144,-8
"98345801",2017-08-27 08:53:22.150,-9
"98345811",2017-08-27 08:53:22.154,-7
"98345821",2017-08-27 08:53:22.160,-7
"98345831",2017-08-27 08:53:22.164,-7
"98345841",2017-08-27 08:53:22.170,-8
"98345851",2017-08-27 08:53:22.174,-8
"98345861",2017-08-27 08:53:22.180,-7
"98345871",2017-08-27 08:53:22.184,-7
"98345881",2017-08-27 08:53:22.190,-7
"98345891",2017-08-27 08:53:22.194,-7
"98345901",2017-08-27 08:53:22.200,-7
"98345911",2017-08-27 08:53:22.204,-6
"98345921",2017-08-27 08:53:22.210,-5
"98345931",2017-08-27 08:53:22.214,-3
"98345941",2017-08-27 08:53:22.220,-4
"98345951",2017-08-27 08:53:22.224,-5
"98345961",2017-08-27 08:53:22.230,-5
"98345971",2017-08-27 08:53:22.234,-5
"98345981",2017-08-27 08:53:22.240,-7
"98345991",2017-08-27 08:53:22.244,-6
"98346001",2017-08-27 08:53:22.250,-6
"98346011",2017-08-27 08:53:22.255,-5
"98346021",2017-08-27 08:53:22.259,-5
"98346031",2017-08-27 08:53:22.265,-5
"98346041",2017-08-27 08:53:22.269,-4
"98346051",2017-08-27 08:53:22.275,-4
"98346061",2017-08-27 08:53:22.279,-5
"98346071",2017-08-27 08:53:22.285,-6
"98346081",2017-08-27 08:53:22.289,-5
"98346091",2017-08-27 08:53:22.295,-3
"98346101",2017-08-27 08:53:22.299,-3
"98346111",2017-08-27 08:53:22.305,-3
"98346121",2017-08-27 08:53:22.309,-3
"98346131",2017-08-27 08:53:22.315,-5
"98346141",2017-08-27 08:53:22.319,-5
"98346151",2017-08-27 08:53:22.325,-2
"98346161",2017-08-27 08:53:22.329,-1
"98346171",2017-08-27 08:53:22.335,-1
"98346181",2017-08-27 08:53:22.339,-1
"98346191",2017-08-27 08:53:22.345,0
"98346201",2017-08-27 08:53:22.349,-2
"98346211",2017-08-27 08:53:22.355,-4
"98346221",2017-08-27 08:53:22.359,-4
"98346231",2017-08-27 08:53:22.365,-4
"98346241",2017-08-27 08:53:22.369,-2
"98346251",2017-08-27 08:53:22.375,-2
"98346261",2017-08-27 08:53:22.380,-4
"98346271",2017-08-27 08:53:22.384,-3
"98346281",2017-08-27 08:53:22.390,-2
"98346291",2017-08-27 08:53:22.394,-2
"98346301",2017-08-27 08:53:22.400,-2
"98346311",2017-08-27 08:53:22.404,0
"98346321",2017-08-27 08:53:22.410,0
"98346331",2017-08-27 08:53:22.414,-1
"98346341",2017-08-27 08:53:22.420,-3
"98346351",2017-08-27 08:53:22.424,-2
"98346361",2017-08-27 08:53:22.430,-1
"98346371",2017-08-27 08:53:22.434,-2
"98346381",2017-08-27 08:53:22.440,-2
"98346391",2017-08-27 08:53:22.444,0
"98346401",2017-08-27 08:53:22.450,-2
"98346411",2017-08-27 08:53:22.454,-5
"98346421",2017-08-27 08:53:22.460,-2
"98346431",2017-08-27 08:53:22.464,0
"98346441",2017-08-27 08:53:22.470,1
"98346451",2017-08-27 08:53:22.474,0
"98346461",2017-08-27 08:53:22.480,-2
"98346471",2017-08-27 08:53:22.484,-2
"98346481",2017-08-27 08:53:22.490,-1
"98346491",2017-08-27 08:53:22.494,0
"98346501",2017-08-27 08:53:22.500,1
"98346511",2017-08-27 08:53:22.505,0
"98346521",2017-08-27 08:53:22.509,-2
"98346531",2017-08-27 08:53:22.515,-3
"98346541",2017-08-27 08:53:22.519,-2
"98346551",2017-08-27 08:53:22.525,0
"98346561",2017-08-27 08:53:22.529,0
"98346571",2017-08-27 08:53:22.535,-1
"98346581",2017-08-27 08:53:22.539,0
"98346591",2017-08-27 08:53:22.545,0
